STATE,ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(,),",",;,<,=,F,N,T,V,add,and,begin,div,else,end,eq,grt,halt,if,input,main,mul,not,num,or,print,skip,sqrt,sub,text,then,void,{,},ε,$,PROG,GLOBVARS,VTYP,VNAME,ALGO,INSTRUC,COMMAND,ATOMIC,CONST,ASSIGN,CALL,BRANCH,TERM,OP,ARG,COND,SIMPLE,COMPOSIT,UNOP,BINOP,FNAME,FUNCTIONS,DECL,HEADER,FTYP,BODY,PROLOG,EPILOG,LOCVARS,SUBFUNCS
0,,,,,,,,,,,,,,,,,,,,,,s2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,s6,,,,,,s7,,,,,s4,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,s9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,r( GLOBVARS -> ε ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,r( VTYP -> num ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,r( VTYP -> text ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,s17,,,,,,,,s18,,,s13,,,,,,,,,,,,,,,,,,,,,,,12,14,15,16,,,,,
9,,,,,,,s31,,,s11,,,,,,,,,s23,s30,,,,,,,s24,s22,,,,,,,,s20,,,,,28,,19,21,,,25,26,27,,,,,,,,,29,,,,,,,,,
10,,,s32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,r( VNAME -> V ),r( VNAME -> V ),r( VNAME -> V ),r( VNAME -> V ),r( VNAME -> V ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r( PROG -> main GLOBVARS ALGO FUNCTIONS ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,r( FUNCTIONS -> ε ),,,,,,,,,,,,,,,,,,,,,r( FUNCTIONS -> ε ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,s17,,,,,,,,s18,,,s13,,,,,,,,,,,,,,,,,,,,,,,33,14,15,16,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,35,,,
16,,,,,,,s31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,
17,,,,,,,r( FTYP -> num ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,r( FTYP -> void ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,s38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,r( INSTRUC -> ε ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,s39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,r( COMMAND -> skip ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,r( COMMAND -> halt ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,s43,s44,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,40,42,,,,,,,,,,,,,,,,,,,,,
25,,,,r( COMMAND -> ASSIGN ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,r( COMMAND -> CALL ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,r( COMMAND -> BRANCH ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,s45,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,s47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,s57,s54,,s60,,,s55,s56,,,,,s59,s61,,s53,,,s62,s58,,,,,,,,,,,,,,,,,,,,,,,48,49,50,52,51,,,,,,,,,,
31,r( FNAME -> F ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,s6,,,,,,s7,,,,,s4,,,63,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,r( FUNCTIONS -> DECL FUNCTIONS ),,,,,,,,,,,,,,,,,,,,,r( FUNCTIONS -> DECL FUNCTIONS ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,r( DECL -> HEADER BODY ),,,,,,,,r( DECL -> HEADER BODY ),,,r( DECL -> HEADER BODY ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,s6,,,,,,s7,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,64,
36,,,,,,,,,,,,,,,,,,,,,,,,,r( PROLOG -> { ),,,,,,r( PROLOG -> { ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,r( ALGO -> begin INSTRUC end ),,,,,,,,,,,r( ALGO -> begin INSTRUC end ),,,,,,,,,,r( ALGO -> begin INSTRUC end ),,,,,,,,r( ALGO -> begin INSTRUC end ),,r( ALGO -> begin INSTRUC end ),r( ALGO -> begin INSTRUC end ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,s31,,,s11,,,,,,,,,s23,s30,,,,,,,s24,s22,,,,,,,,s20,,,,,28,,67,21,,,25,26,27,,,,,,,,,29,,,,,,,,,
40,,,,r( COMMAND -> print ATOMIC ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,r( ATOMIC -> VNAME ),r( ATOMIC -> VNAME ),r( ATOMIC -> VNAME ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,r( ATOMIC -> CONST ),r( ATOMIC -> CONST ),r( ATOMIC -> CONST ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,r( CONST -> N ),r( CONST -> N ),r( CONST -> N ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,r( CONST -> T ),r( CONST -> T ),r( CONST -> T ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,s31,s43,s44,s11,s57,s54,,s60,,,s55,s56,,,,,s59,s61,,s53,,,s62,s58,,,,,,,,,,,41,,,,70,42,,71,,69,72,,,,,73,74,29,,,,,,,,,
47,,,,,,,,s43,s44,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,75,42,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r( COND -> SIMPLE ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r( COND -> COMPOSIT ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,s77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,s78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,r( BINOP -> or ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,r( BINOP -> and ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,r( BINOP -> eq ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,r( BINOP -> grt ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,r( BINOP -> add ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,r( BINOP -> sub ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,r( BINOP -> mul ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,r( BINOP -> div ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,r( UNOP -> not ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,r( UNOP -> sqrt ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,"r( GLOBVARS -> VTYP VNAME , GLOBVARS )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,s9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,r( INSTRUC -> COMMAND ; INSTRUC ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,r( ASSIGN -> VNAME < input ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,r( ASSIGN -> VNAME = TERM ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,r( TERM -> ATOMIC ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,r( TERM -> CALL ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,r( TERM -> OP ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,s82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,s83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,s84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,s9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,s43,s44,s11,s57,s54,,s60,,,s55,s56,,,,,s59,,,s53,,,,s58,,,,,,,,,,,41,,,,86,42,,,,,,,,87,,,88,,,,,,,,,,
78,,,,,,,,,,,s57,s54,,s60,,,s55,s56,,,,,s59,,,s53,,,,s58,,,,,,,,,,,,,,,,,,,,,,,,89,,,88,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,
80,,,s92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,s93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,s43,s44,s11,s57,s54,,s60,,,s55,s56,,,,,s59,s61,,s53,,,s62,s58,,,,,,,,,,,41,,,,95,42,,,,,96,94,,,,73,74,,,,,,,,,,
83,,,,,,,,s43,s44,s11,s57,s54,,s60,,,s55,s56,,,,,s59,s61,,s53,,,s62,s58,,,,,,,,,,,41,,,,95,42,,,,,96,97,,,,73,74,,,,,,,,,,
84,,,,,,,,s43,s44,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,98,42,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,s99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,s100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,s101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,s102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,s103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,s17,,,,,,,,s18,,,s13,,,,,,,,,,,,,,,,,,,,,,,105,14,15,16,,,,,104
91,,,,,,,,,,,,,,,,,,,,,,,,,r( EPILOG -> } ),,,,,,,,r( EPILOG -> } ),,,r( EPILOG -> } ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,s6,,,,,,s7,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,s108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,r( ARG -> ATOMIC ),r( ARG -> ATOMIC ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,r( ARG -> OP ),r( ARG -> OP ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,s109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,s110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,s9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,s43,s44,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,112,42,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,s57,s54,,s60,,,s55,s56,,,,,s59,,,s53,,,,s58,,,,,,,,,,,,,,,,,,,,,,,,113,,,88,,,,,,,,,,
102,,,,,,,,s43,s44,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,86,42,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r( COMPOSIT -> UNOP ( SIMPLE ) ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,s114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,r( SUBFUNCS -> FUNCTIONS ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,s116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,r( OP -> UNOP ( ARG ) ),r( OP -> UNOP ( ARG ) ),r( OP -> UNOP ( ARG ) ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,s43,s44,s11,s57,s54,,s60,,,s55,s56,,,,,s59,s61,,s53,,,s62,s58,,,,,,,,,,,41,,,,95,42,,,,,96,117,,,,73,74,,,,,,,,,,
110,,,,,,,,s43,s44,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,118,42,,,,,,,,,,,,,,,,,,,,,
111,,,,r( BRANCH -> if COND then ALGO else ALGO ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,s119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,s120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,r( BODY -> PROLOG LOCVARS ALGO EPILOG SUBFUNCS end ),,,,,,,,r( BODY -> PROLOG LOCVARS ALGO EPILOG SUBFUNCS end ),,,r( BODY -> PROLOG LOCVARS ALGO EPILOG SUBFUNCS end ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,s121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,s123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,s124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,"r( SIMPLE -> BINOP ( ATOMIC , ATOMIC ) )","r( SIMPLE -> BINOP ( ATOMIC , ATOMIC ) )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"r( SIMPLE -> BINOP ( ATOMIC , ATOMIC ) )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"r( COMPOSIT -> BINOP ( SIMPLE , SIMPLE ) )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,s6,,,,,,s7,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,s126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,"r( OP -> BINOP ( ARG , ARG ) )","r( OP -> BINOP ( ARG , ARG ) )","r( OP -> BINOP ( ARG , ARG ) )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,"r( CALL -> FNAME ( ATOMIC , ATOMIC , ATOMIC ) )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"r( HEADER -> FTYP FNAME ( VNAME , VNAME , VNAME ) )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,s128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,"r( LOCVARS -> VTYP VNAME , VTYP VNAME , VTYP VNAME , )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
